year,region,white,black,hispanic,aapi,other
2020,Alabama,0.6312051938198495,0.2563868367978769,0.052554207280288374,0.015630103344181325,0.0442236587578039
2019,Alabama,0.6552020507562164,0.2648600871571392,0.04278410663932325,0.013742732632658293,0.02341102281466284
2018,Alabama,0.6571305820732299,0.26430042674954984,0.04175937574516721,0.013455561311329831,0.023354054120723177
2020,Alaska,0.575079323307758,0.02826732261508527,0.06793647590439479,0.07622673307962602,0.25249014509313594
2019,Alaska,0.606317191900883,0.031010707288879724,0.07037342551840536,0.07316828298067478,0.21913039231115716
2018,Alaska,0.6103510282783311,0.030895742272340748,0.06930926344182116,0.07333761218443473,0.21610635382307225
2020,Arizona,0.5336706890384705,0.04434886545511698,0.3065444154248996,0.036797864280818215,0.07863816580069477
2019,Arizona,0.5470699895139199,0.042141049620732396,0.3132722456168171,0.03396664453521758,0.06355007071331298
2018,Arizona,0.5507498900554725,0.04125910416263297,0.3114164525957345,0.03382908538389174,0.0627454678022683
2020,Arkansas,0.6852178498328421,0.14938748620299888,0.08528804684936929,0.021746464580723913,0.05836015253406585
2019,Arkansas,0.7243031036517669,0.15233165631449272,0.07472569239540304,0.017850748657218016,0.03078879898111936
2018,Arkansas,0.7268766775081579,0.15332211400050358,0.07324510118297867,0.017159359889469622,0.029396747418890257
2020,California,0.346869079068121,0.05360094205548894,0.39404026832465383,0.15471008901942812,0.050779621532308084
2019,California,0.3717925621540262,0.05521797104774048,0.39018135274463983,0.14641565642692145,0.03639245762667209
2018,California,0.37538445662135916,0.05528959282490684,0.38881377085762103,0.14468785218229133,0.03582432751382167
2020,Colorado,0.6513420997299139,0.038330613535758784,0.21881755833420222,0.03537151303303212,0.05613821536709302
2019,Colorado,0.6805852897921324,0.03948524414434824,0.21534703099575445,0.03248960091431032,0.032092834153454604
2018,Colorado,0.6830800371930493,0.03918395860817867,0.21420426635300022,0.032007139214133215,0.03152459863163855
2020,Alaska District 1,0.575079323307758,0.02826732261508527,0.06793647590439479,0.07622673307962602,0.25249014509313594
2019,Alaska District 1,0.606317191900883,0.031010707288879724,0.07037342551840536,0.07316828298067478,0.21913039231115716
2018,Alaska District 1,0.6103510282783311,0.030895742272340748,0.06930926344182116,0.07333761218443473,0.21610635382307225
2020,Delaware District 1,0.5857388468889275,0.21512241047004488,0.1053489678245726,0.04313559904156582,0.050654175774889176
2019,Delaware District 1,0.6231373687905328,0.21666485592030488,0.0923104566423748,0.038637845156114195,0.02924947349067329
2018,Delaware District 1,0.6273050411007957,0.21555142470471145,0.09090621856881816,0.03869425326094397,0.027543062364730767
2020,Montana District 1,0.8313016209735065,0.004682607392377043,0.041687841545804606,0.008223385367428348,0.11410454472088354
2019,Montana District 1,0.8609440450616714,0.004441064522975799,0.03837056904827397,0.008446208010477334,0.08779811335660147
2018,Montana District 1,0.8629407563557614,0.00417381821812136,0.03745589076653112,0.008171007514408697,0.08725852714517743
2020,North Dakota District 1,0.8165381840958857,0.033567194715913615,0.04288571083848675,0.017865623403594433,0.08914328694611945
2019,North Dakota District 1,0.8444173977854337,0.028513962287090154,0.037420858788688505,0.015513064989950007,0.07413471614883765
2018,North Dakota District 1,0.8501411191955341,0.026738863681383035,0.03526849871244521,0.014663633789372788,0.07318788462126483
2020,South Dakota District 1,0.7957700015902249,0.019670293357032572,0.043692840716977176,0.01559209940146639,0.12527476493429893
2019,South Dakota District 1,0.8195668004382993,0.01974529023543654,0.03793080476615999,0.01488793275735725,0.10786917180274691
2018,South Dakota District 1,0.8224216668267211,0.018327203053608226,0.03701886753157798,0.014782092563945625,0.10745017002414704
2020,Vermont District 1,0.8913411613228276,0.013449400305095657,0.024109088025228705,0.01808026099518409,0.053020089351663954
2019,Vermont District 1,0.927964018048639,0.012655510937622634,0.0192819947686497,0.01712121964463338,0.022977256600455243
2018,Vermont District 1,0.9296710118932376,0.012163647622232498,0.01868388756706247,0.017138230686889275,0.02234322223057811
2020,Wyoming District 1,0.8141859856358055,0.008208358830963281,0.10235918807456344,0.009579596810961582,0.06566687064770624
2019,Wyoming District 1,0.8406485790604175,0.008937668667731453,0.09868955499256485,0.009237139946026325,0.04248705733325991
2018,Wyoming District 1,0.8414037632597502,0.008849572731835087,0.097907314088506045,0.008755044376765962,0.04308430554314271
2020,Alabama District 1,0.6344130881372921,0.25944819875639563,0.03757111621477235,0.015355044087922499,0.05321255280361738
2019,Alabama District 1,0.650800199961979,0.27391552310476175,0.03226992050807241,0.014314179698226393,0.028700176726960427
2018,Alabama District 1,0.6509498190382773,0.2744149706370674,0.03205648100574237,0.014577432792217444,0.028001296526695495
2020,Arizona District 1,0.4930170204376684,0.024161135572057568,0.2142695669317211,0.017379246894920153,0.2511730301636328
2019,Arizona District 1,0.4826043339999344,0.022344031734583485,0.23092810543225256,0.01735960397337967,0.24676392485984988
2018,Arizona District 1,0.48676716473367126,0.02150932880384299,0.2261949627113246,0.017487194458451656,0.24804134929270943
2020,Arkansas District 1,0.7299619759124943,0.17590746913683647,0.03957213130314857,0.00833766059732994,0.046220763050190676
2019,Arkansas District 1,0.7574939736323022,0.17172410255983744,0.0348815449680003,0.006129637253556562,0.0297707415863035
2018,Arkansas District 1,0.7592358714371675,0.1746498551005305,0.03340918365229661,0.0056438170462640835,0.027061272763741283
2020,California District 1,0.7159347821441545,0.012846977370344253,0.15372352928606534,0.03136098467850503,0.08613372652093088
2019,California District 1,0.7635724936830995,0.01452108981741116,0.13907225741829057,0.030001386464148582,0.05283277261705015
2018,California District 1,0.7683957205633102,0.014920305253656507,0.13527309563086604,0.028711613390641492,0.05269926516152579
2020,Colorado District 1,0.5733058493144656,0.07516910878747185,0.259860764025592,0.038492692668641935,0.05317158520382862
2019,Colorado District 1,0.5823979466153641,0.07775295696760463,0.2731994131126778,0.03533941289638026,0.03131027040797313
2018,Colorado District 1,0.5793358429356974,0.07875811325456016,0.2758506550453023,0.036100165868267864,0.02995522289617225
2020,Connecticut District 1,0.5745136235567557,0.14539457733113728,0.1757016612462273,0.06089285365928428,0.043497284206595446
2019,Connecticut District 1,0.6077523388981566,0.14489152600017147,0.16830510165792287,0.05248238711663081,0.02656864632711825
2018,Connecticut District 1,0.6132137387880113,0.14241679708754748,0.16725285944275226,0.051854220307512806,0.025262384374176126
2020,Florida District 1,0.700004084760008,0.12519541863219955,0.07639120117938161,0.02780359978759248,0.0706056956408184
2019,Florida District 1,0.7306461086066132,0.1315490244126963,0.06588666358088319,0.025920581268257012,0.04599762213155033
2018,Florida District 1,0.7326105928516614,0.13176894594057398,0.0643068786272494,0.026680233407616945,0.04463334917289826
2020,Georgia District 1,0.5714644850823188,0.2785290977148142,0.07811389807364832,0.023772759569240295,0.048119759559978326
2019,Georgia District 1,0.5883064007369551,0.29371159713846534,0.06832164995448299,0.0190967959006196,0.03056355626947701
2018,Georgia District 1,0.5908653570188793,0.2926125259328302,0.06759619405820434,0.019270245374457765,0.029655677615628356
