metric,weight,error,next_lower,next_upper,pct_diff,search_suggestion,in_range
downweight,1,0,0,1,0,baseline,NA
downweight,0,0.048913043478260865,0,0.25,1.7364568081991214,not final,0.9989130434782608
downweight,0,0.048913043478260865,0,0.0625,1.6875,not final,0.9989130434782608
downweight,0,0.048913043478260865,0,0.015625,1.5620437956204378,not final,0.9989130434782608
downweight,0.00390625,0.03152173913043477,0,0.0078125,1.4449760765550241,not final,0.9184782608695652
downweight,0.001953125,0.006521739130434856,0,0.00390625,1.7599999999999973,not final,0.9565217391304348
