index,metric,weight,rmse,next_lower,next_upper,pct_diff,search_suggestion
0,bseline,0,0.02255113190963678,0,0,0,baseline
1,date_weight,0.5,0.018162892199302772,0.25,0.75,1.3152557760560801,not final
2,sample_size,1,0.016356589660559657,0.5,1.5,0.8295799808371356,not final
