cycle,race,state,candidates,endorsements
2018,House,California,TJ Cox (D),Oscar Sablan[44]
2018,House,California,TJ Cox (D),Humberto Garza[44]
2018,House,California,TJ Cox (D),Jim Avalos[44]
2018,House,California,TJ Cox (D),Patricia Sorenson[44]
2018,House,California,TJ Cox (D),Abigail Solis[44]
2018,House,California,TJ Cox (D),Alex Padilla[44]
2018,House,California,TJ Cox (D),Jose Gurrola[44]
2018,House,California,TJ Cox (D),Gilbert Reyna[44]
2018,House,California,TJ Cox (D),Cathee Romley[44]
2018,House,California,TJ Cox (D),Mary Gonzales-Gomez[44]
2018,House,California,TJ Cox (D),Cathy Jorgensen[44]
2018,House,California,TJ Cox (D),Alfred Valdez[44]
2018,House,California,TJ Cox (D),Rey Leon[44]
2018,House,California,TJ Cox (D),Melissa Hurtado[44]
2018,House,California,TJ Cox (D),Scott Robertson[44]
2018,House,California,TJ Cox (D),Vicki Filgas Tevino[44]
2018,House,California,TJ Cox (D),Rudy Salas[44]
2018,House,California,TJ Cox (D),Art Armendariz[44]
2018,House,California,TJ Cox (D),Alex Garcia[44]
2018,House,California,TJ Cox (D),Chio Gonzalez[44]
2018,House,California,TJ Cox (D),Ray Lerma[44]
2018,House,California,TJ Cox (D),Claire Fitiausi[44]
2018,House,California,TJ Cox (D),Marcia Sablan[44]
2018,House,California,TJ Cox (D),Rolando Castro[44]
2018,House,California,TJ Cox (D),Daniel Martinez[44]
2018,House,California,TJ Cox (D),Humberto Gomez Sr.[44]
2018,House,California,TJ Cox (D),Esmeralda Soria[44]
2018,House,California,TJ Cox (D),Organizations
2018,House,California,TJ Cox (D),314 Action[44]
2018,House,California,TJ Cox (D),California Labor Federation[44]
2018,House,California,TJ Cox (D),Equality California[44]
2018,House,California,TJ Cox (D),J Street PAC[44]
2018,House,California,TJ Cox (D),League of Conservation Voters[44]
2018,House,California,TJ Cox (D),Planned Parenthood Action Fund[44]
2018,House,California,TJ Cox (D),Service Employees International Union (SEIU) California[44]
2018,House,California,TJ Cox (D),AFL–CIO[44]
2018,House,California,TJ Cox (D),American Federation of Teachers[44]
2018,House,California,TJ Cox (D),"Kern, Inyo, and Mono Counties Central Labor Council[44]"
2018,House,California,TJ Cox (D),International Brotherhood of Teamsters[44]
2018,House,California,TJ Cox (D),United Food and Commercial Workers[44]
2018,House,California,TJ Cox (D),American Association for Justice[44]
2018,House,California,TJ Cox (D),American Federation of Government Employees[44]
2018,House,California,Brian T. Carroll (ASP),Organizations
2018,House,California,Brian T. Carroll (ASP),American Solidarity Party of California[47]
2018,House,California,"Ricardo ""Rico"" Franco (D)",Local-level officials
2018,House,California,"Ricardo ""Rico"" Franco (D)","Gayle McLaughlin (Independent), former Mayor of Richmond[15]"
2018,House,California,Andrew Janz (D),Newspapers
2018,House,California,Andrew Janz (D),The Fresno Bee[48]
2018,House,California,Devin Nunes (R),U.S. Presidents
2018,House,California,Devin Nunes (R),"Donald Trump, 45th President of the United States[49]"
2018,House,California,Justin Fareed (R),"Ian Parkinson, San Luis Obispo County Sheriff[50]"
2018,House,California,Justin Fareed (R),Santa Barbara County Deputy Sheriffs' Association[51]
2018,House,California,Justin Fareed (R),San Luis Obispo Sworn Deputy Sheriff's Association[52]
2018,House,California,Justin Fareed (R),National Border Patrol Council[53]
2018,House,California,Justin Fareed (R),California Cattlemen's Association[54]
2018,House,California,Salud Carbajal (D),Organizations
2018,House,California,Salud Carbajal (D),J Street PAC[13]
2018,House,California,Katie Hill (D) won primary,Former U.S. Executive Branch officials
2018,House,California,Katie Hill (D) won primary,"Barack Obama, 44th President of the United States[20]"
2018,House,California,Katie Hill (D) won primary,State officials
2018,House,California,Katie Hill (D) won primary,"Gavin Newsom, Lt Governor of California and 2018 gubernatorial nominee[14]"
2018,House,California,Katie Hill (D) won primary,U.S. Senators
2018,House,California,Katie Hill (D) won primary,"Kamala Harris, U.S. Senator from California[55]"
2018,House,California,Katie Hill (D) won primary,"Elizabeth Warren, Senator from Massachusetts[55]"
2018,House,California,Katie Hill (D) won primary,Celebrities
2018,House,California,Katie Hill (D) won primary,"Alex Hirsch, Animator[56]"
2018,House,California,Katie Hill (D) won primary,"Daron Nefcy, Animator[56]"
2018,House,California,Katie Hill (D) won primary,"Emily Brundige, Animator[56]"
2018,House,California,Katie Hill (D) won primary,"Kirsten Lepore, Animator[56]"
2018,House,California,Katie Hill (D) won primary,Organizations
2018,House,California,Katie Hill (D) won primary,Congressional Progressive Caucus[57]
2018,House,California,Katie Hill (D) won primary,EMILY's List[55]
2018,House,California,Katie Hill (D) won primary,Equality California[55]
2018,House,California,Katie Hill (D) won primary,J Street[58]
2018,House,California,Katie Hill (D) won primary,CalArts[56]
2018,House,California,Katie Hill (D) won primary,League of Conservation Voters[59]
2018,House,California,Katie Hill (D) won primary,LGBTQ Victory Fund[60]
2018,House,California,Katie Hill (D) won primary,NARAL Pro-Choice America[55]
2018,House,California,Katie Hill (D) won primary,National Committee to Preserve Social Security and Medicare[61]
2018,House,California,Katie Hill (D) won primary,Planned Parenthood Action Fund[55]
2018,House,California,Katie Hill (D) won primary,Service Employees International Union (SEIU) California[55]
2018,House,California,Katie Hill (D) won primary,Sierra Club[55]
2018,House,California,Katie Hill (D) won primary,Stonewall Democrats[62]
2018,House,California,Jess Phoenix (D),Local-level officials
2018,House,California,Jess Phoenix (D),"Gayle McLaughlin (Independent), former Mayor of Richmond[15]"
2018,House,California,Jess Phoenix (D),U.S. Representatives
2018,House,California,Jess Phoenix (D),"Jerry McNerney, U.S. Representative (D-CA-9)[63]"
2018,House,California,Jess Phoenix (D),Celebrities
2018,House,California,Jess Phoenix (D),"Patton Oswalt, Comedian, actor, voice actor, and writer.[64]"
2018,House,California,Jess Phoenix (D),"Felicia Day, Actress, writer, singer.[65]"
2018,House,California,Jess Phoenix (D),"Tara Strong, voice actress.[66]"
2018,House,California,Jess Phoenix (D),"Piper Perabo, Film and television actress.[67]"
2018,House,California,Jess Phoenix (D),"Robert Picardo, Actor (Star Trek: Voyager), Planetary Society Board Member and host of The Planetary Post.[68]"
2018,House,California,Jess Phoenix (D),"John Billingsley, Actor (Star Trek: Enterprise), reader, activist.[69]"
2018,House,California,Jess Phoenix (D),"Wil Wheaton, Actor, blogger, voice actor and writer.[70]"
2018,House,California,Jess Phoenix (D),"Marina Sirtis, Actress, Star Trek: The Next Generation.[71]"
