result,estimate,incumbent,num_polls,last_poll,pvi,white,black,hispanic,aapi,other,poll_bucket
0.3680120765176075,0.46054377672543806,rep,0,258,-15,0.6232168594900539,-0.9723368144295592,-3.407674359036162,-4.213595917692607,-3.547103656956327,none
0.3849740932642487,0.4547304341571449,rep,0,258,-16,0.48103455038366044,-0.7948437976604057,-3.3018802884158838,-4.476135311638452,-3.700202689665241,none
0.3624172656903946,0.4547304341571449,rep,0,258,-16,0.7379536145998464,-1.0798801380482044,-3.4432131078456183,-3.986464968624876,-3.8555039514599616,none
0.20148474303024524,0.3733436382010406,rep,0,258,-30,1.6274299981644744,-2.601104940128659,-2.6677353488462265,-5.122903222665054,-3.6931974467448607,none
0.38927859750970434,0.44310374902055855,rep,0,258,-18,0.9777097820230792,-1.561834564414884,-2.9247524844069526,-4.048257883198398,-3.41382838087073,none
0.30786596018491225,0.39659700847421325,rep,0,258,-26,1.1546952502266454,-1.7082109636075309,-2.980800816659055,-4.027487337652212,-3.8701730179480673,none
0.4669369132102869,0.5050495943619192,rep,7,8,-9,0.4487879865432525,-3.445753815346665,-2.5973484690818998,-2.5365156965890554,-1.2885026904457981,polled
0.5384476588578474,0.5091055513806069,dem,4,5,-2,-0.05294370452495046,-3.817524514130242,-1.2299226577988944,-4.0286445094466385,-1.1090858733905855,polled
0.5474644913170772,0.5729565215662015,mix or neither,2,36,-1,0.4425173993246013,-3.2763543862755893,-0.9234249036644293,-3.3919978109848046,-3.2329915714813726,polled
0.6386546195924643,0.6233173686376469,dem,0,258,13,-1.0093567167217992,-3.078050183868432,0.5044729837084646,-3.9502216030303705,-3.0212361365241853,none
0.3091896123469526,0.3048780487804878,rep,1,42,-21,1.0484671777450045,-4.038199330662888,-1.4355884963695351,-4.2451241182986745,-3.292338853067686,polled
0.4057540950093272,0.46054377672543806,rep,0,258,-15,0.8648125557683587,-3.4389157659235305,-1.4994126493378572,-2.977137649951913,-3.3391853322853855,none
0.4480696463807663,0.4300645902812708,rep,2,22,-9,0.9163763488912652,-3.6452472642694254,-1.5783173894104472,-2.93764174186547,-3.207385846809223,polled
0.4453587994901512,0.4638495359062043,rep,2,41,-13,0.7785344996712245,-3.0706008462056795,-1.3988431316754706,-3.174215654482525,-3.4045985010816517,polled
0.6108557101571322,0.5709972855230082,mix or neither,0,258,4,0.23777068670984539,-2.833412888112379,-0.9708019096511056,-2.836517209323015,-2.8402487914446954,none
0.29444636537444574,0.2784810126582279,rep,1,60,-17,1.1484947605991918,-1.553024572758559,-3.36494443654287,-5.171534857572791,-3.582217450654999,polled
0.467795859179892,0.45199201547516155,rep,3,19,-7,0.7580000914421946,-1.2399615431971325,-2.9049100323866965,-4.102605944388612,-3.6050792820285267,polled
0.33510231636927784,0.369047619047619,rep,1,60,-19,1.1083282530536747,-3.47465353646722,-1.7953058116729694,-3.2384303695803336,-3.2321863621764804,polled
0.31876606683804626,0.30769230769230765,rep,1,60,-17,0.920914518785244,-1.4272851643522382,-2.766769407977046,-4.985066987767555,-3.6509135632062897,polled
0.4511341111271151,0.48379714699861076,rep,0,258,-11,1.1992746383623272,-4.189999492344425,-1.8551180739216908,-3.521321735118073,-2.88901509695401,none
0.7700795483705415,0.6756374517522853,dem,0,258,22,0.898615885233819,-4.277898669816922,-1.5551601340832737,-3.1862220644049475,-2.72311176764769,none
0.5807294694102502,0.5768106280913015,dem,0,258,5,-0.0994870350508407,-2.7895100673074853,-0.857857308409282,-2.0180193840365512,-2.906230250697929,none
0.4586853522929424,0.4787234042553192,rep,1,21,-10,1.1317316601177587,-4.3605832966572295,-1.8535376621833712,-2.8769412058808634,-3.11559794090642,polled
0.550449724270907,0.5651839429547152,dem,0,258,3,0.11840659026961411,-2.5837690488186307,-1.5434103359616091,-1.6267417663412105,-2.7528608352820347,none
0.5649148498478306,0.594250655796181,dem,0,258,8,-0.6722816954161147,-2.350021999341095,-0.4730480117660351,-1.7455654724419107,-3.1161153001261437,none
0.5225101397025688,0.5332283089624409,rep,4,12,0,-0.31167309680936084,-3.463965494721368,-0.2605845182834268,-2.513025704295939,-3.265654816498584,polled
0.7413242116794411,0.6698241091839922,dem,0,258,21,-0.16378307979051426,-2.4801073580330253,-0.9974048698825105,-1.7867009491738644,-2.930624069806317,none
0.8682318211636474,0.7628375902766829,dem,0,258,37,-0.2812764119840208,-2.936832935596157,-1.755785637196389,-0.743663213128382,-2.9449857560832613,none
0.7922255577667593,0.7047041645937512,dem,0,258,27,-0.6574705235261995,-3.5533298285303587,-1.166644843854059,-0.6244965712308025,-3.0635009416786483,none
0.7296754383447642,0.6640107666156989,dem,0,258,20,-0.7234298257710029,-2.8043078447293825,-1.2299812513801152,-0.6430823273302938,-3.042665251144347,none
0.5754517029358067,0.5604395604395604,dem,1,48,9,-1.243674277279978,-2.8639543979418884,0.4370861325959682,-2.3056857862928553,-3.7045207741038246,polled
0.753473636355026,0.6930774794571648,dem,0,258,25,-1.1918179183358555,-3.7063508154978453,-1.636509245657007,0.1731821397734013,-3.260263240120373,none
0.7449162580482931,0.6814507943205784,dem,0,258,23,0.14731306062809177,-3.919214607669702,-1.6432227846666483,-1.1747131687122183,-3.0380319293359808,none
0.7375487361507632,0.6872641368888717,dem,0,258,24,-1.084027731611729,-3.6031640046038826,-0.4005455990809896,-0.9206899992738915,-3.3244564761489417,none
0.5037934797915786,0.43820224719101125,rep,1,43,5,-1.6084736530594592,-3.291737883702545,1.0854225964852908,-3.432217698407095,-3.9701418506325976,polled
