region,white,black,hispanic,aapi,other
Pennsylvania District 15,0.907525424,0.021389831,0.020644068,0.020745763,0.029694915
Pennsylvania District 16,0.891423729,0.039966102,0.020915254,0.013118644,0.034576271
Pennsylvania District 17,0.842372881,0.072949153,0.020101695,0.031627119,0.032949153
Rhode Island,0.687,0.0505,0.166,0.0353,0.0612
Rhode Island District 1,0.678576271,0.058644068,0.159457627,0.038135593,0.065186441
Rhode Island District 2,0.768380733,0.03599878,0.124639843,0.032676858,0.038303786
South Carolina,0.620937906,0.247975202,0.068893111,0.01809819,0.04409559
South Carolina District 1,0.711423729,0.162440678,0.06820339,0.018474576,0.039457627
South Carolina District 2,0.640677966,0.239118644,0.05959322,0.021966102,0.038644068
South Carolina District 3,0.740508475,0.166135593,0.047491525,0.011186441,0.034677966
South Carolina District 4,0.670474576,0.178440678,0.09,0.026067797,0.035016949
South Carolina District 5,0.664949153,0.234847458,0.045288136,0.018474576,0.036440678
South Carolina District 6,0.445525424,0.452305085,0.053152542,0.016169492,0.032847458
South Carolina District 7,0.671288136,0.242881356,0.04020339,0.010711864,0.034915254
South Dakota,0.796,0.0197,0.0437,0.0156,0.125
Tennessee,0.708929107,0.156984302,0.069293071,0.019998,0.04479552
Tennessee District 1,0.895864407,0.021525424,0.03759322,0.008101695,0.036915254
Tennessee District 2,0.842983051,0.054711864,0.043423729,0.018271186,0.040610169
Tennessee District 3,0.800515237,0.096166232,0.046134029,0.014880851,0.042303651
Tennessee District 4,0.784949153,0.089254237,0.066338983,0.019389831,0.040067797
Tennessee District 5,0.719026474,0.116538422,0.087658045,0.04016813,0.036608929
Tennessee District 6,0.800745763,0.085694915,0.063728814,0.011355932,0.038474576
Tennessee District 7,0.724061433,0.147849829,0.062491468,0.021262799,0.044334471
Tennessee District 8,0.749322034,0.169322034,0.029322034,0.019457627,0.032576271
Tennessee District 9,0.284169492,0.586983051,0.077084746,0.022101695,0.029661017
Texas,0.397119136,0.118035411,0.393117935,0.054516355,0.037211163
Texas District 1,0.635525424,0.173559322,0.141254237,0.01159322,0.038067797
Texas District 2,0.531270126,0.109928477,0.271177248,0.046981458,0.04064269
Texas District 3,0.593627119,0.091084746,0.143118644,0.126813559,0.045355932
Texas District 4,0.62959322,0.086983051,0.124305085,0.110338983,0.048779661
Texas District 5,0.523661017,0.131457627,0.258474576,0.048542373,0.037864407
Texas District 6,0.487864407,0.135288136,0.302169492,0.038169492,0.036508475
Texas District 7,0.30202366,0.180298973,0.28331243,0.202908376,0.031456561
Texas District 8,0.487762712,0.118576271,0.296779661,0.059966102,0.036915254
Texas District 9,0.138987762,0.366419201,0.364249636,0.106444286,0.023899115
Texas District 10,0.594847458,0.093830508,0.219932203,0.054338983,0.037050847
Texas District 11,0.477236516,0.105325604,0.352418726,0.021492254,0.043526899
Texas District 12,0.588610169,0.107762712,0.216677966,0.043525424,0.043423729
Texas District 13,0.620393912,0.065086952,0.246313434,0.024712702,0.043493
Texas District 14,0.560067797,0.151898305,0.223762712,0.030169492,0.034101695
Texas District 15,0.175491525,0.01159322,0.788610169,0.012271186,0.012033898
Texas District 16,0.12979221,0.030304057,0.807972611,0.014135114,0.017796007
Texas District 17,0.566474576,0.148,0.222813559,0.026,0.036711864
Texas District 18,0.194176074,0.325773755,0.398081291,0.0559002,0.02606868
Texas District 19,0.536899556,0.064239466,0.347435506,0.019729482,0.03169599
