region,white,black,hispanic,aapi,other
Indiana District 5,0.834271186,0.056983051,0.037898305,0.034338983,0.036508475
Indiana District 6,0.839864407,0.036745763,0.042271186,0.046237288,0.034881356
Indiana District 7,0.504101695,0.312338983,0.121830508,0.02159322,0.040135593
Indiana District 8,0.892030238,0.039425065,0.024543205,0.010407132,0.033594359
Indiana District 9,0.885013051,0.026644971,0.033323163,0.018339605,0.036679209
Iowa,0.826917308,0.04049595,0.067693231,0.02529747,0.03959604
Iowa District 1,0.858169492,0.039355932,0.046813559,0.022474576,0.033186441
Iowa District 2,0.883762712,0.040271186,0.030237288,0.014677966,0.031050847
Iowa District 3,0.31372549,0.167640566,0.252694455,0.140501234,0.125438255
Iowa District 4,0.854542373,0.01840678,0.07640678,0.019186441,0.031457627
Kansas,0.722505754,0.055638947,0.130091064,0.030121085,0.06164315
Kansas District 1,0.776779661,0.02759322,0.130508475,0.019491525,0.045627119
Kansas District 2,0.732949153,0.084271186,0.10640678,0.017322034,0.059050847
Kansas District 3,0.778644068,0.044576271,0.085084746,0.047016949,0.044677966
Kansas District 4,0.732567206,0.06396827,0.111122411,0.034374047,0.057968067
Kentucky,0.813243973,0.079423827,0.046113834,0.017205162,0.044013204
Kentucky District 1,0.858130784,0.069697278,0.030170514,0.007152785,0.034848639
Kentucky District 2,0.856745763,0.053118644,0.033322034,0.018644068,0.038169492
Kentucky District 3,0.654869657,0.204549307,0.068815892,0.031628191,0.040136954
Kentucky District 4,0.885016949,0.033254237,0.033694915,0.011288136,0.036745763
Kentucky District 5,0.941288136,0.01579661,0.012745763,0.004067797,0.026101695
Kentucky District 6,0.80959322,0.08020339,0.05020339,0.021762712,0.038237288
Louisiana,0.557665401,0.311812912,0.069158505,0.018688787,0.042674395
Louisiana District 1,0.698644068,0.121288136,0.109389831,0.024169492,0.046508475
Louisiana District 2,0.298450795,0.563442829,0.078375538,0.027865351,0.031865487
Louisiana District 3,0.670067797,0.233762712,0.046881356,0.017288136,0.032
Louisiana District 4,0.581186441,0.325389831,0.040677966,0.010644068,0.042101695
Louisiana District 5,0.602867894,0.318248076,0.036102919,0.00996644,0.032814672
Louisiana District 6,0.650101695,0.228677966,0.063491525,0.024169492,0.033559322
Maine,0.901729481,0.018394482,0.019494152,0.012496251,0.047885634
Maine District 1,0.910237288,0.018237288,0.018237288,0.015627119,0.037661017
Maine District 2,0.922983051,0.011559322,0.013559322,0.008372881,0.043525424
Maryland,0.47171697,0.290825505,0.117929242,0.068059165,0.051469119
Maryland District 1,0.74979661,0.141491525,0.045050847,0.024677966,0.038983051
Maryland District 2,0.623932203,0.226576271,0.050813559,0.060711864,0.037966102
Maryland District 3,0.606067797,0.165288136,0.075932203,0.107084746,0.045627119
Maryland District 4,0.123126992,0.565495966,0.21964201,0.056580107,0.035154926
Maryland District 5,0.456508475,0.400745763,0.060338983,0.032474576,0.049932203
Maryland District 6,0.635694915,0.121694915,0.116271186,0.085627119,0.040711864
Maryland District 7,0.324677966,0.522135593,0.071898305,0.04040678,0.040881356
Maryland District 8,0.468729874,0.161689434,0.179485441,0.146639097,0.043456154
Massachusetts,0.426444613,0.410042897,0.079485238,0.04548322,0.038544032
Massachusetts District 1,0.73220339,0.052576271,0.157830508,0.022305085,0.035084746
Massachusetts District 2,0.738677966,0.049118644,0.096033898,0.070779661,0.045389831
Massachusetts District 3,0.645254237,0.03620339,0.194542373,0.077016949,0.046983051
Massachusetts District 4,0.80579661,0.030745763,0.050779661,0.064881356,0.04779661
Massachusetts District 5,0.669288136,0.049084746,0.093932203,0.128169492,0.059525424
Massachusetts District 6,0.793389831,0.029762712,0.092135593,0.048745763,0.035966102
Massachusetts District 7,0.422183803,0.191396319,0.192820096,0.12668226,0.066917523
Massachusetts District 8,0.690735279,0.088308078,0.060646124,0.094443879,0.06586664
Massachusetts District 9,0.852033898,0.024745763,0.048372881,0.012644068,0.06220339
Michigan,0.723855229,0.134973005,0.055988802,0.033193361,0.051989602
Michigan District 1,0.908576271,0.009932203,0.01620339,0.005525424,0.059762712
Michigan District 2,0.891661017,0.022101695,0.038169492,0.005627119,0.042440678
Michigan District 3,0.739991186,0.10247805,0.088104682,0.029526425,0.039899658
Michigan District 4,0.7711,0.092433333,0.0693,0.024233333,0.042933333
Michigan District 5,0.866135593,0.040372881,0.041288136,0.008813559,0.043389831
Michigan District 6,0.715099329,0.095328497,0.043358872,0.101193301,0.045020001
Michigan District 7,0.820338983,0.056644068,0.047694915,0.032271186,0.043050847
Michigan District 8,0.762305085,0.139084746,0.04440678,0.011423729,0.042779661
Michigan District 9,0.897148676,0.021826205,0.031466395,0.011473184,0.03808554
Michigan District 10,0.757254237,0.120881356,0.025559322,0.057830508,0.038474576
Michigan District 11,0.70866809,0.124987288,0.044645581,0.083901149,0.037797891
Michigan District 12,0.474576271,0.438067797,0.028576271,0.019694915,0.039084746
Michigan District 13,0.395471033,0.447032103,0.087663989,0.028916234,0.040916641
Minnesota,0.763,0.0688,0.0606,0.0526,0.055
Minnesota District 1,0.855694915,0.031322034,0.056949153,0.027559322,0.028474576
Minnesota District 2,0.79020339,0.05179661,0.06359322,0.055118644,0.039288136
Minnesota District 3,0.757576785,0.079869822,0.043324971,0.081361448,0.037866974
Minnesota District 4,0.67890437,0.096003254,0.062374996,0.11990237,0.042815011
Minnesota District 5,0.653842243,0.145520491,0.085556422,0.060947087,0.054133758
Minnesota District 6,0.867778117,0.036867609,0.030395446,0.029751618,0.035207211
Minnesota District 7,0.90640678,0.012338983,0.040542373,0.008169492,0.032542373
Minnesota District 8,0.892644068,0.011423729,0.014847458,0.008271186,0.072813559
Mississippi,0.553944606,0.363963604,0.03549645,0.01129887,0.03529647
Mississippi District 1,0.669378623,0.262280077,0.031119699,0.009763043,0.027458558
Mississippi District 2,0.343423729,0.607830508,0.020881356,0.005898305,0.021966102
Mississippi District 3,0.616237288,0.316745763,0.02379661,0.012169492,0.031050847
Mississippi District 4,0.682429913,0.215702227,0.044815078,0.017322621,0.03973016
Missouri,0.757469771,0.112920955,0.049165584,0.022983911,0.057459778
Missouri District 1,0.442576271,0.434169492,0.039864407,0.040474576,0.042915254
Missouri District 2,0.860169492,0.030677966,0.026610169,0.044847458,0.037694915
Missouri District 3,0.862474576,0.045220339,0.027762712,0.019762712,0.044779661
Missouri District 4,0.851666045,0.041896885,0.040337616,0.011491136,0.054608318
Missouri District 5,0.618766738,0.205023899,0.094986271,0.024543205,0.056679887
Missouri District 6,0.878101695,0.034745763,0.031694915,0.010474576,0.044983051
Missouri District 7,0.85020339,0.019016949,0.049627119,0.014440678,0.066711864
Missouri District 8,0.882779661,0.042169492,0.019389831,0.008338983,0.047322034
Montana,0.831332533,0.004681873,0.041716687,0.008223289,0.114045618
Montana District 1,0.867385335,0.003322147,0.035730025,0.008508763,0.085053731
Montana District 2,0.843898305,0.00559322,0.034610169,0.007152542,0.108745763
Nebraska,0.756697321,0.048080768,0.119952019,0.027389044,0.047880848
Nebraska District 1,0.810813559,0.031050847,0.089661017,0.029525424,0.038949153
Nebraska District 2,0.719118644,0.092576271,0.105898305,0.041830508,0.040576271
Nebraska District 3,0.844711864,0.01179661,0.099898305,0.007864407,0.035728814
Nevada,0.459045905,0.094009401,0.287028703,0.093109311,0.066806681
Nevada District 1,0.439220339,0.096677966,0.321830508,0.083932203,0.058338983
Nevada District 2,0.667728814,0.019830508,0.197762712,0.045220339,0.069457627
Nevada District 3,0.471491525,0.092881356,0.188271186,0.180745763,0.066610169
Nevada District 4,0.415627119,0.156915254,0.306067797,0.059830508,0.061559322
New Hampshire,0.871651339,0.013494602,0.043182727,0.026089564,0.045581767
New Hampshire District 1,0.890338983,0.013084746,0.035254237,0.024237288,0.037084746
New Hampshire District 2,0.886610169,0.011661017,0.035830508,0.025728814,0.040169492
New Jersey,0.51853332,0.1238885,0.215805775,0.101908283,0.039864122
New Jersey District 1,0.630487102,0.155520152,0.126334701,0.053388021,0.034270025
New Jersey District 2,0.673830508,0.107016949,0.14779661,0.037457627,0.033898305
New Jersey District 3,0.658723433,0.123182265,0.097962781,0.083420901,0.03671062
New Jersey District 4,0.819694915,0.033559322,0.090949153,0.027322034,0.028474576
New Jersey District 5,0.612067797,0.053627119,0.149152542,0.158169492,0.026983051
New Jersey District 6,0.45159322,0.104271186,0.220576271,0.189423729,0.034135593
New Jersey District 7,0.734644068,0.047898305,0.107864407,0.079762712,0.029830508
New Jersey District 8,0.268067797,0.077050847,0.489491525,0.125322034,0.040067797
New Jersey District 9,0.408881356,0.080237288,0.390610169,0.093559322,0.026711864
New Jersey District 10,0.202956032,0.480897658,0.200718668,0.068036205,0.047391437
New Jersey District 11,0.639864407,0.062915254,0.152169492,0.115491525,0.029559322
New Jersey District 12,0.435586151,0.156329479,0.191596867,0.186781512,0.029705992
New Mexico,0.365219131,0.018110867,0.477286372,0.017310386,0.122073244
New Mexico District 1,0.493847666,0.024270364,0.37615674,0.028473611,0.077251619
New Mexico District 2,0.332508475,0.018847458,0.561423729,0.011728814,0.075491525
New Mexico District 3,0.38445371,0.012983491,0.396962609,0.012305502,0.193294688
New York,0.524790084,0.136945222,0.194922031,0.095161935,0.048180728
New York District 1,0.743279433,0.043289603,0.134377437,0.05152717,0.027526357
New York District 2,0.594799824,0.094986271,0.2484491,0.032679074,0.029085732
New York District 3,0.582779661,0.035254237,0.127864407,0.225627119,0.028474576
