model_date,race,sim,winner,n
2022-07-05,House,200,dem,198
2022-07-05,House,201,dem,211
2022-07-05,House,202,dem,159
2022-07-05,House,203,dem,174
2022-07-05,House,204,dem,163
2022-07-05,House,205,dem,143
2022-07-05,House,206,dem,127
2022-07-05,House,207,dem,216
2022-07-05,House,208,dem,138
2022-07-05,House,209,dem,206
2022-07-05,House,210,dem,101
2022-07-05,House,211,dem,152
2022-07-05,House,212,dem,166
2022-07-05,House,213,dem,169
2022-07-05,House,214,dem,203
2022-07-05,House,215,dem,168
2022-07-05,House,216,dem,169
2022-07-05,House,217,dem,176
2022-07-05,House,218,dem,139
2022-07-05,House,219,dem,161
2022-07-05,House,220,dem,223
2022-07-05,House,221,dem,214
2022-07-05,House,222,dem,188
2022-07-05,House,223,dem,197
2022-07-05,House,224,dem,183
2022-07-05,House,225,dem,151
2022-07-05,House,226,dem,195
2022-07-05,House,227,dem,192
2022-07-05,House,228,dem,175
2022-07-05,House,229,dem,175
2022-07-05,House,230,dem,161
2022-07-05,House,231,dem,195
2022-07-05,House,232,dem,155
2022-07-05,House,233,dem,187
2022-07-05,House,234,dem,165
2022-07-05,House,235,dem,187
2022-07-05,House,236,dem,152
2022-07-05,House,237,dem,187
2022-07-05,House,238,dem,160
2022-07-05,House,239,dem,194
2022-07-05,House,240,dem,177
2022-07-05,House,241,dem,144
2022-07-05,House,242,dem,175
2022-07-05,House,243,dem,170
2022-07-05,House,244,dem,202
2022-07-05,House,245,dem,166
2022-07-05,House,246,dem,200
2022-07-05,House,247,dem,172
2022-07-05,House,248,dem,165
2022-07-05,House,249,dem,167
2022-07-05,House,250,dem,155
2022-07-05,House,251,dem,197
2022-07-05,House,252,dem,161
2022-07-05,House,253,dem,153
2022-07-05,House,254,dem,198
2022-07-05,House,255,dem,136
2022-07-05,House,256,dem,182
2022-07-05,House,257,dem,197
2022-07-05,House,258,dem,168
2022-07-05,House,259,dem,167
2022-07-05,House,260,dem,186
2022-07-05,House,261,dem,190
2022-07-05,House,262,dem,181
2022-07-05,House,263,dem,180
2022-07-05,House,264,dem,156
2022-07-05,House,265,dem,138
2022-07-05,House,266,dem,160
2022-07-05,House,267,dem,137
2022-07-05,House,268,dem,194
2022-07-05,House,269,dem,131
2022-07-05,House,270,dem,173
2022-07-05,House,271,dem,173
2022-07-05,House,272,dem,165
2022-07-05,House,273,dem,210
2022-07-05,House,274,dem,129
2022-07-05,House,275,dem,143
2022-07-05,House,276,dem,192
2022-07-05,House,277,dem,162
2022-07-05,House,278,dem,176
2022-07-05,House,279,dem,156
2022-07-05,House,280,dem,139
2022-07-05,House,281,dem,174
2022-07-05,House,282,dem,202
2022-07-05,House,283,dem,160
2022-07-05,House,284,dem,179
2022-07-05,House,285,dem,188
2022-07-05,House,286,dem,163
2022-07-05,House,287,dem,176
2022-07-05,House,288,dem,147
2022-07-05,House,289,dem,151
2022-07-05,House,290,dem,135
2022-07-05,House,291,dem,195
2022-07-05,House,292,dem,151
2022-07-05,House,293,dem,179
2022-07-05,House,294,dem,225
2022-07-05,House,295,dem,237
2022-07-05,House,296,dem,187
2022-07-05,House,297,dem,192
2022-07-05,House,298,dem,139
2022-07-05,House,299,dem,209
2022-07-05,House,300,dem,176
2022-07-05,House,301,dem,185
2022-07-05,House,302,dem,189
2022-07-05,House,303,dem,178
2022-07-05,House,304,dem,157
2022-07-05,House,305,dem,204
2022-07-05,House,306,dem,135
2022-07-05,House,307,dem,197
2022-07-05,House,308,dem,167
2022-07-05,House,309,dem,201
2022-07-05,House,310,dem,147
2022-07-05,House,311,dem,220
2022-07-05,House,312,dem,177
2022-07-05,House,313,dem,185
2022-07-05,House,314,dem,203
2022-07-05,House,315,dem,180
2022-07-05,House,316,dem,184
